BUILDING.ID,pred_energy_cost_saving_CDI,pred_elec_cost_saving_CDI,pred_gas_cost_saving_CDI
389348000000.0,8308.149024909506,8217.463542090056,90.68848529745031
438113000000.0,7885.25848888061,7794.25569880193,91.0077061819265
420464000000.0,9386.182224934879,9222.491967341948,163.69368118230523
381640000000.0,47174.34998166512,47976.49551510312,-802.1343435775383
383509000000.0,22643.530328982368,22665.817249068128,-22.279096934205622
403511000000.0,39590.97358871675,40113.27409994342,-522.2891021508159
457360000000.0,16097.312176471843,16158.99144522886,-61.67429239294819
486963000000.0,5310.419506424495,5281.61376593899,28.80841595978445
484828000000.0,0.0,0.0,0.0
485013000000.0,7474.500409969947,7503.682280451721,-29.180372883475513
485168000000.0,68844.52119104739,70296.12444180403,-1451.5941856143554
483518000000.0,21214.17890309182,21218.213794613832,-4.026310283989376
478020000000.0,5636.276117683659,5545.6044804705825,90.67369996356894
467891000000.0,32554.709579828424,32954.485262503054,-399.76884990444796
485841000000.0,9983.75627743452,9965.732417387275,18.030047283638066
430832000000.0,17992.588893636985,18068.196399604632,-75.61084938462254
430217000000.0,12657.234890950169,12448.871679480992,208.36183055884172
477466000000.0,336242.5959447411,321537.13120313344,14705.46514774349
420885000000.0,220162.0365343187,209146.65586293762,11015.37979775064
404738000000.0,369456.3633674065,353872.22043393773,15584.143754593768
382282000000.0,391387.6971184994,375206.8729373768,16180.825231653032
382271000000.0,995758.383224816,964412.994213238,31345.390383308888
382167000000.0,204104.04923448054,194247.5442313749,9856.504678907515
378417000000.0,213037.42867229655,202241.66388466168,10795.763785322055
389704000000.0,820828.5097697873,792717.0116367837,28111.499667041513
390575000000.0,906512.9993240313,876581.2627142025,29931.738006483683
384513000000.0,245396.5182400205,234408.5650539835,10987.953605623481
386608000000.0,125943.47528662618,124926.11484025414,1017.3629474246837
382684000000.0,273063.76345245104,261311.29363136736,11752.470664028437
382823000000.0,205706.26702664254,195825.742816093,9880.523924623742
442594000000.0,95610.13801750027,89983.5667282005,5626.569996415996
450697000000.0,421385.54982722545,404721.1260441365,16664.42542330594
423196000000.0,259943.56522854397,247988.3075628826,11955.257686225004
422186000000.0,356113.4193654314,340640.548959504,15472.870818130137
426220000000.0,297152.39658246713,283617.44728305435,13534.949276099165
420512000000.0,250653.3833120173,238772.3040176492,11881.078937499658
412549000000.0,0.0,0.0,0.0
382858000000.0,232132.33359482177,220717.38186095766,11414.951020414905
382567000000.0,258339.87645456372,246438.41388299156,11901.462575531861
382544000000.0,220863.46962995906,209898.66080477557,10964.808063524837
382115000000.0,198606.63149792206,188541.7948987813,10064.835738719847
397871000000.0,302980.4109603802,289333.7738341129,13646.637242846473
405712000000.0,493938.5995620694,474689.13426574366,19249.4668485034
421855000000.0,349068.08181221463,334700.94785329944,14367.135229742074
447534000000.0,199117.11445685072,190111.1514188556,9005.96336753865
485868000000.0,239712.88996690695,229626.91527206788,10085.975848156362
461544000000.0,209494.32424657766,199157.7589335298,10336.564681443528
475489000000.0,72647.72475584934,68711.08634966264,3936.6379012283805
493191000000.0,231297.26265795715,221142.7388441684,10154.524496918531
489881000000.0,136784.68477216744,128209.32440947756,8575.357807510183
490959000000.0,1597237.2116008215,1559460.6166441082,37776.59297709815
492141000000.0,1904946.8279774685,1867642.5005991638,37304.32276368291
484895000000.0,447715.8134422028,429384.10683907685,18331.707535195383
484465000000.0,666894.8243132046,642380.8564834482,24513.96931541493
487567000000.0,0.0,0.0,0.0
482353000000.0,185462.97551327187,176722.28576208118,8740.689767957683
483925000000.0,99790.0165215681,92509.12163846382,7280.891700454781
484210000000.0,214476.0733324109,203690.9034556612,10785.168993327963
475821000000.0,583941.4906118894,562251.509120214,21689.983382105027
476715000000.0,194978.87348717183,186128.98674650575,8849.887117612869
482389000000.0,158383.85981263223,150845.33292013154,7538.526896666933
476000000000.0,211564.79063725148,201268.9434945245,10295.846684453318
478908000000.0,335604.00536368624,321389.60638148646,14214.399874445971
457985000000.0,291579.74906107923,278304.6453662909,13275.103713690114
474402000000.0,192847.98899533413,184520.9024360393,8327.087441240717
467473000000.0,270105.4422891505,257917.466389102,12187.976128818997
467051000000.0,262728.97377195396,250306.11058835406,12422.862795317451
456347000000.0,202729.77977700828,192374.24900931228,10355.529764839484
450886000000.0,854138.4117439848,825362.3881040518,28776.02517652329
476699000000.0,656356.3947440982,631994.1703493082,24362.22577161728
460903000000.0,536668.0436907139,516432.79411877703,20235.251478439506
447447000000.0,475928.1121286638,457416.8450449428,18511.26875555054
486683000000.0,133093.4542724961,125830.89360675006,7262.5595731565245
427635000000.0,208125.853659494,197859.27968745012,10266.57336610418
428159000000.0,226206.11059593517,216707.62663653475,9498.48511149202
427797000000.0,251140.5319363044,239507.4326427721,11633.099236370821
435121000000.0,494552.2195243557,474650.67101005255,19901.54948650776
441968000000.0,378596.51467694284,362509.82694135717,16086.68837975355
441667000000.0,242752.84990384735,231255.74775376433,11497.101849103608
469242000000.0,213872.17458638726,203573.1989512895,10298.975289131928
482118000000.0,78284.86853803313,73611.24671170357,4673.62071252834
472598000000.0,40170.22652586701,38083.39723367743,2086.828860564413
508240000000.0,259352.00483640024,248056.07726603933,11295.928298753335
442687000000.0,401799.2471224272,384754.5045075509,17044.743187957658
442872000000.0,62194.28890498336,58032.8109346376,4161.476435205752
564877000000.0,226520.28327858876,216458.23636653725,10062.047469700206
380717000000.0,359694.06387571624,344067.7808110615,15626.283425805936
474609000000.0,433.4064126187938,256.51532956271825,176.89058739521127
474881000000.0,222.16081952575507,152.5779260217838,69.58306237910297
476742000000.0,256.2853702652858,185.75633790435697,70.52931545603914
465468000000.0,234.85957724214,122.76769530170047,112.09207866978772
470384000000.0,308.420243037568,155.94092730656848,152.47917027558628
438179000000.0,299.07026915795507,133.0481055883773,166.0220623951614
440506000000.0,228.65171270237332,80.57771360065699,148.0741277183113
434200000000.0,359.5666353025451,264.6597973792762,94.9075835343034
430454000000.0,860.463061379335,806.6272257484052,53.83819383012549
432472000000.0,227.86153878832008,159.6157598124876,68.24623938302395
429439000000.0,307.791595246455,236.23980539325862,71.55242755634656
429166000000.0,298.65987253252337,344.05116481835717,-45.39115470643401
412482000000.0,269.9123090222157,254.30997957022785,15.602653548404026
411630000000.0,280.2039867298394,294.24568462124586,-14.04155399297414
410816000000.0,224.39939315429825,127.0407707847372,97.35892574584207
381572000000.0,377.0308666806922,330.500419343697,46.53142866084065
383625000000.0,270.1196395403381,281.2736189285327,-11.153821336463613
382387000000.0,206.50756508488843,148.0017458593226,58.50621653437604
382941000000.0,326.92337267488966,298.04386107934437,28.87985482004361
382816000000.0,210.7828438571217,111.72284702637116,99.06024356655443
400142000000.0,228.5458998809154,200.2315780242088,28.31454932936789
399052000000.0,309.73606515995664,248.27162170008918,61.46455574344614
399204000000.0,279.6986121606551,183.8538619657621,95.84478809179063
400196000000.0,369.9725476793137,322.91803803258296,47.055486418693725
395979000000.0,344.6183555952045,294.12599176193766,50.49326887744761
394742000000.0,282.92616075677626,259.5814388358898,23.34507925978443
396799000000.0,287.43178328668535,46.5181205258535,240.91362847724682
419072000000.0,344.60134251048316,292.6407198758293,51.9608280309177
419371000000.0,0.0,0.0,0.0
421791000000.0,314.9458828788755,303.61521177746533,11.331580492766735
420780000000.0,366.51030841579325,300.04358092327215,66.46721209459224
420902000000.0,352.7660177449032,337.0538911436896,15.712738946414973
420517000000.0,284.874739872519,250.3860162725444,34.488865885875136
422504000000.0,347.33651134540014,246.98915504206803,100.34807433224077
425420000000.0,0.0,0.0,0.0
425306000000.0,307.2543505088384,217.0875368076509,90.1673578953236
426078000000.0,327.406415131788,288.43189354406553,38.97480963111136
423899000000.0,315.27722663140474,206.23463993585887,109.04249962240196
424664000000.0,310.00531717924673,140.74251579181447,169.2631004944893
423030000000.0,272.4591992693533,177.8144704855479,94.64500494197284
424503000000.0,307.77128442143896,318.7731340654766,-11.001321439371543
424398000000.0,0.0,0.0,0.0
423936000000.0,0.0,0.0,0.0
423976000000.0,328.8430077044605,310.0679922949916,18.775545755339273
424155000000.0,290.81922997423175,135.6945010467607,155.12506541767877
424376000000.0,287.42977734779095,301.56566920405743,-14.135738982886851
424427000000.0,329.31441744278686,251.41202558801655,77.90261707446321
424466000000.0,235.51671135426938,78.8923146052673,156.62449195419072
431546000000.0,245.4083647583072,55.82144271050239,189.5869732532552
431983000000.0,273.5433775257626,173.867034501823,99.67678614901892
441631000000.0,259.1623485612597,100.53124304489114,158.6312149917166
444596000000.0,362.7502199427095,301.5737575773506,61.17736966766494
433407000000.0,207.04146202494042,162.59556349771552,44.446415543256606
443911000000.0,253.6763540643959,370.28647025818617,-116.60977218137128
444646000000.0,0.0,0.0,0.0
450182000000.0,299.89603067147715,288.9043216228273,10.992060590313844
432956000000.0,178.25544494240788,198.00177247655742,-19.74587592041352
438969000000.0,231.17015943907575,104.3489183906703,126.82145524022327
443627000000.0,277.2305140687145,222.1415953357328,55.089474846872314
444013000000.0,250.0334135907177,154.47733249593202,95.55639696365532
444926000000.0,699.1529016417811,668.6172725869998,30.537640574274107
438272000000.0,292.08347223280714,318.41974235259624,-26.335916950197305
431370000000.0,264.38895729588705,251.1542966991449,13.234827698813882
436616000000.0,241.48087115923042,244.12665388057889,-2.645316243731944
434434000000.0,212.38485549505359,186.31234623232842,26.072702084614754
434778000000.0,293.79462116366994,273.81591454515734,19.979181160989317
437004000000.0,485.7128518867418,439.91658023221186,45.79760543843703
436636000000.0,264.7035090521806,273.5672342387206,-8.863267672001246
436601000000.0,335.56574011670534,327.5977130718735,7.968673857424338
436586000000.0,283.2319682412968,312.3055804679855,-29.073180945605372
436386000000.0,240.39092343455638,218.8105528699485,21.580650561377386
440552000000.0,263.14393376352075,240.7332037274898,22.410982515932854
442704000000.0,254.5562837208101,243.83555179369915,10.721100699970348
442944000000.0,257.5262513481917,240.3896351222888,17.136786336487667
442857000000.0,314.49456626759263,338.249403525869,-23.75417985385099
444250000000.0,578.8412722401315,543.00309292002,35.83974409562553
442584000000.0,255.58804353455463,326.4246390067387,-70.83621840242726
446020000000.0,248.90520340931786,195.7460894709976,53.15956198515051
448605000000.0,253.53578797314103,259.67875320919165,-6.1426415406061885
450755000000.0,240.20436819501597,340.337764818229,-100.13290846752912
450618000000.0,163.47309996639697,154.98934822209532,8.484218586683909
447598000000.0,286.6244537834051,261.4095994077294,25.215236972938982
449312000000.0,302.4391026211149,315.5192704071743,-13.079573038734852
447810000000.0,320.929298805181,281.74824378457106,39.180920199279385
448556000000.0,379.6691874654245,328.7540751588902,50.91598292255626
447645000000.0,270.66032697140975,336.2544147400579,-65.59388282629028
448058000000.0,266.70373571878446,271.0315617047856,-4.3276265299913845
450789000000.0,283.274095284972,342.1819560220025,-58.907650157917224
450203000000.0,243.658836055615,260.87080922759867,-17.211710662609896
455116000000.0,241.66394537161068,285.94425147940007,-44.2800703997338
452391000000.0,280.01693887139663,273.957830366307,6.059581487467067
425457000000.0,340.1307831737252,298.91489916980487,41.215866457193975
417570000000.0,223.79307588760082,91.40833932927322,132.38491757532876
419715000000.0,280.49970904839006,167.25938231046845,113.24071241614426
414973000000.0,280.1395949802191,23.188590216949464,256.95079469407546
417979000000.0,322.3226039633472,217.11802934961574,105.20478827488476
417963000000.0,297.7681081913805,255.06617354562232,42.70270104269251
415269000000.0,231.80629722228585,191.8343183061988,39.972151526943534
414900000000.0,321.9406935301488,194.99453098803286,126.94621193536871
422174000000.0,307.96906844482004,302.85757418002044,5.1117780978034935
423761000000.0,207.46137716560756,271.9455148587326,-64.48367897710672
421084000000.0,295.37920853966205,291.1961508100253,4.183311308859153
427080000000.0,256.5270666806583,163.31570185864803,93.21180507539344
429087000000.0,253.29968357335918,372.5467914675377,-119.24677788875549
427929000000.0,375.43507513621284,259.0247151551189,116.41061816350485
425411000000.0,236.6426103536073,151.12161149898063,85.52133490334455
422606000000.0,283.1863032766853,332.63223100031473,-49.44571071056606
430895000000.0,286.6058971629096,264.7869524107336,21.819021846782164
429647000000.0,282.167673717486,304.67244671474015,-22.504370601959966
426920000000.0,243.57921428549,223.95307908608157,19.626859789355144
428689000000.0,237.8279956867277,299.6117469270826,-61.78347055693408
423834000000.0,194.94230556095718,106.27750861934703,88.66499580092426
423153000000.0,224.06953135884368,133.95581474467093,90.11404184788866
399269000000.0,262.3080518478397,170.53792241143418,91.77060431922716
410034000000.0,229.51595554527063,205.6954215918445,23.821194005590076
399760000000.0,229.33235274952168,123.17119503353894,106.16139486584315
406495000000.0,318.61500447720226,225.75564216815394,92.85954029538914
411990000000.0,734.1590324811185,688.1055687686345,46.055585109672116
383291000000.0,254.19157164524768,134.28050930763848,119.91136639557106
389636000000.0,299.58868711556164,160.99089308356088,138.59814437350687
389244000000.0,289.04811654817587,115.20454628572254,173.84382362708226
387828000000.0,312.23879985697585,249.0586076131171,63.180216818798286
387073000000.0,280.60717837932384,360.3279854390253,-79.7201660583073
379185000000.0,323.4045835136192,267.3885974186511,56.016271384302165
379390000000.0,303.00940170614336,263.15642729215716,39.85331615190435
378703000000.0,356.79328678630577,288.13474316761454,68.65879567146024
378733000000.0,0.0,0.0,0.0
388331000000.0,291.90292239777835,292.8449831847889,-0.9417555374850792
383532000000.0,361.15511727022994,256.74022779263373,104.4150685525077
373225000000.0,264.68418730485956,336.53912327091393,-71.85433430931789
378044000000.0,521.9857668865252,465.99057187626096,55.99660758731888
389504000000.0,321.9745370974622,346.02736815428113,-24.052128009369213
406263000000.0,230.55004650906926,215.9344447575275,14.615909375427178
401185000000.0,232.10997540545026,106.88470279436399,125.22540678977465
398505000000.0,199.87843832219548,141.03701573355087,58.84179674220761
398840000000.0,208.4701124310026,66.28523772875306,142.18499253061398
398713000000.0,288.1994777144409,275.9088726005388,12.290826545070875
399688000000.0,235.70255942206657,161.18809306084376,74.5149054314646
398472000000.0,295.6261874989726,227.4562053222993,68.16999111457235
403899000000.0,281.0599659645029,268.5902685349,12.470293554907967
404179000000.0,325.8362192662973,314.4117025455046,11.425300101149487
431922000000.0,246.02156926304238,249.777828890858,-3.755977648869628
431298000000.0,214.4108222141554,178.93020331901542,35.481110895550366
429795000000.0,328.00941000553263,289.6600213713885,38.35026674180661
430487000000.0,210.13517310446443,215.2317720118984,-5.0961701693368555
429373000000.0,267.78264564406294,218.98238716438317,48.80087883417985
425954000000.0,291.0403532211944,246.30957236427844,44.731209215139465
422942000000.0,0.0,0.0,0.0
423796000000.0,316.31201919248923,252.22466950564493,64.08808394498037
423863000000.0,297.31462986057306,310.90525160074594,-13.590277746621068
424341000000.0,283.2277194768403,333.1726829050737,-49.94461682852704
425727000000.0,217.3485325192731,174.7437371353764,42.60519318294042
417754000000.0,384.66488536955336,390.5621823976378,-5.896328526615669
451885000000.0,338.9852384573825,352.8302069625433,-13.844259588033392
447818000000.0,284.9279898122804,296.3995251973448,-11.471370478240392
449748000000.0,572.4627843925282,530.0572918889598,42.407102977837035
449805000000.0,392.5410611528879,377.84818264867226,14.69399300757544
450882000000.0,300.935606614231,320.0468939816857,-19.111073086507385
442651000000.0,213.17495054762097,146.3892708057814,66.7860593430446
442755000000.0,222.83229557769653,138.15760259440196,84.67503518625257
445517000000.0,271.63678478243355,170.817429833388,100.81977981940986
